Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,VPR Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"10287","","","None","172.16.16.88","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 192.168.100.10 to 172.16.16.88 : 
192.168.100.10

ttl was greater than 50 - Completing Traceroute.

192.168.100.1
10.11.0.1
10.0.11.177
?

Hop Count: 4

An error was detected along the way.

","","","","","","None","","","","1999/11/27","2023/12/04","","",""
"19506","","","None","172.16.16.88","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - The ping round trip time 
  - Whether credentialed or third-party patch management
    checks are possible.
  - Whether the display of superseded patches is enabled
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 10.7.3
Nessus build : 20038
Plugin feed version : 202406060023
Scanner edition used : Nessus
Scanner OS : WINDOWS
Scanner distribution : win-x86-64
Scan type : Normal
Scan name : connected_to_2
Scan policy used : Advanced Scan
Scanner IP : 192.168.100.10
Port scanner(s) : nessus_syn_scanner 
Port range : 1-1000
Ping RTT : Unavailable
Thorough tests : no
Experimental tests : no
Scan for Unpatched Vulnerabilities : no
Plugin debugging enabled : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : no
Credentialed checks : no
Patch management checks : None
Display superseded patches : yes (supersedence plugin did not launch)
CGI scanning : disabled
Web application tests : disabled
Max hosts : 5
Max checks : 5
Recv timeout : 5
Backports : None
Allow post-scan editing : Yes
Nessus Plugin Signature Checking : Enabled
Audit File Signature Checking : Disabled
Scan Start Date : 2024/6/6 0:44 Central Standard Time (Mexico)
Scan duration : 1188 sec
Scan for malware : no
","","","","","","None","","","","2005/08/26","2024/06/04","","",""
"10287","","","None","172.16.16.89","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 192.168.100.10 to 172.16.16.89 : 
192.168.100.10

ttl was greater than 50 - Completing Traceroute.

192.168.100.1
10.11.0.1
10.0.11.177
?

Hop Count: 4

An error was detected along the way.

","","","","","","None","","","","1999/11/27","2023/12/04","","",""
"19506","","","None","172.16.16.89","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - The ping round trip time 
  - Whether credentialed or third-party patch management
    checks are possible.
  - Whether the display of superseded patches is enabled
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 10.7.3
Nessus build : 20038
Plugin feed version : 202406060023
Scanner edition used : Nessus
Scanner OS : WINDOWS
Scanner distribution : win-x86-64
Scan type : Normal
Scan name : connected_to_2
Scan policy used : Advanced Scan
Scanner IP : 192.168.100.10
Port scanner(s) : nessus_syn_scanner 
Port range : 1-1000
Ping RTT : Unavailable
Thorough tests : no
Experimental tests : no
Scan for Unpatched Vulnerabilities : no
Plugin debugging enabled : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : no
Credentialed checks : no
Patch management checks : None
Display superseded patches : yes (supersedence plugin did not launch)
CGI scanning : disabled
Web application tests : disabled
Max hosts : 5
Max checks : 5
Recv timeout : 5
Backports : None
Allow post-scan editing : Yes
Nessus Plugin Signature Checking : Enabled
Audit File Signature Checking : Disabled
Scan Start Date : 2024/6/6 0:51 Central Standard Time (Mexico)
Scan duration : 1184 sec
Scan for malware : no
","","","","","","None","","","","2005/08/26","2024/06/04","","",""
"10287","","","None","172.16.16.93","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 192.168.100.10 to 172.16.16.93 : 
192.168.100.10

ttl was greater than 50 - Completing Traceroute.

192.168.100.1
10.11.0.1
10.0.11.177
?

Hop Count: 4

An error was detected along the way.

","","","","","","None","","","","1999/11/27","2023/12/04","","",""
"19506","","","None","172.16.16.93","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - The ping round trip time 
  - Whether credentialed or third-party patch management
    checks are possible.
  - Whether the display of superseded patches is enabled
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 10.7.3
Nessus build : 20038
Plugin feed version : 202406060023
Scanner edition used : Nessus
Scanner OS : WINDOWS
Scanner distribution : win-x86-64
Scan type : Normal
Scan name : connected_to_2
Scan policy used : Advanced Scan
Scanner IP : 192.168.100.10
Port scanner(s) : nessus_syn_scanner 
Port range : 1-1000
Ping RTT : Unavailable
Thorough tests : no
Experimental tests : no
Scan for Unpatched Vulnerabilities : no
Plugin debugging enabled : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : no
Credentialed checks : no
Patch management checks : None
Display superseded patches : yes (supersedence plugin did not launch)
CGI scanning : disabled
Web application tests : disabled
Max hosts : 5
Max checks : 5
Recv timeout : 5
Backports : None
Allow post-scan editing : Yes
Nessus Plugin Signature Checking : Enabled
Audit File Signature Checking : Disabled
Scan Start Date : 2024/6/6 1:04 Central Standard Time (Mexico)
Scan duration : 1189 sec
Scan for malware : no
","","","","","","None","","","","2005/08/26","2024/06/04","","",""
"10287","","","None","172.16.16.94","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 192.168.100.10 to 172.16.16.94 : 
192.168.100.10

ttl was greater than 50 - Completing Traceroute.

192.168.100.1
10.11.0.1
10.0.11.177
?

Hop Count: 4

An error was detected along the way.

","","","","","","None","","","","1999/11/27","2023/12/04","","",""
"19506","","","None","172.16.16.94","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - The ping round trip time 
  - Whether credentialed or third-party patch management
    checks are possible.
  - Whether the display of superseded patches is enabled
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 10.7.3
Nessus build : 20038
Plugin feed version : 202406060023
Scanner edition used : Nessus
Scanner OS : WINDOWS
Scanner distribution : win-x86-64
Scan type : Normal
Scan name : connected_to_2
Scan policy used : Advanced Scan
Scanner IP : 192.168.100.10
Port scanner(s) : nessus_syn_scanner 
Port range : 1-1000
Ping RTT : Unavailable
Thorough tests : no
Experimental tests : no
Scan for Unpatched Vulnerabilities : no
Plugin debugging enabled : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : no
Credentialed checks : no
Patch management checks : None
Display superseded patches : yes (supersedence plugin did not launch)
CGI scanning : disabled
Web application tests : disabled
Max hosts : 5
Max checks : 5
Recv timeout : 5
Backports : None
Allow post-scan editing : Yes
Nessus Plugin Signature Checking : Enabled
Audit File Signature Checking : Disabled
Scan Start Date : 2024/6/6 1:11 Central Standard Time (Mexico)
Scan duration : 1190 sec
Scan for malware : no
","","","","","","None","","","","2005/08/26","2024/06/04","","",""
"10287","","","None","172.16.16.95","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 192.168.100.10 to 172.16.16.95 : 
192.168.100.10

ttl was greater than 50 - Completing Traceroute.

192.168.100.1
10.11.0.1
10.0.11.177
?

Hop Count: 4

An error was detected along the way.

","","","","","","None","","","","1999/11/27","2023/12/04","","",""
"19506","","","None","172.16.16.95","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - The ping round trip time 
  - Whether credentialed or third-party patch management
    checks are possible.
  - Whether the display of superseded patches is enabled
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 10.7.3
Nessus build : 20038
Plugin feed version : 202406060023
Scanner edition used : Nessus
Scanner OS : WINDOWS
Scanner distribution : win-x86-64
Scan type : Normal
Scan name : connected_to_2
Scan policy used : Advanced Scan
Scanner IP : 192.168.100.10
Port scanner(s) : nessus_syn_scanner 
Port range : 1-1000
Ping RTT : Unavailable
Thorough tests : no
Experimental tests : no
Scan for Unpatched Vulnerabilities : no
Plugin debugging enabled : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : no
Credentialed checks : no
Patch management checks : None
Display superseded patches : yes (supersedence plugin did not launch)
CGI scanning : disabled
Web application tests : disabled
Max hosts : 5
Max checks : 5
Recv timeout : 5
Backports : None
Allow post-scan editing : Yes
Nessus Plugin Signature Checking : Enabled
Audit File Signature Checking : Disabled
Scan Start Date : 2024/6/6 1:15 Central Standard Time (Mexico)
Scan duration : 1208 sec
Scan for malware : no
","","","","","","None","","","","2005/08/26","2024/06/04","","",""
"10287","","","None","172.16.16.98","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 192.168.100.10 to 172.16.16.98 : 
192.168.100.10

ttl was greater than 50 - Completing Traceroute.

192.168.100.1
10.11.0.1
10.0.11.177
?

Hop Count: 4

An error was detected along the way.

","","","","","","None","","","","1999/11/27","2023/12/04","","",""
"19506","","","None","172.16.16.98","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - The ping round trip time 
  - Whether credentialed or third-party patch management
    checks are possible.
  - Whether the display of superseded patches is enabled
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 10.7.3
Nessus build : 20038
Plugin feed version : 202406060023
Scanner edition used : Nessus
Scanner OS : WINDOWS
Scanner distribution : win-x86-64
Scan type : Normal
Scan name : connected_to_2
Scan policy used : Advanced Scan
Scanner IP : 192.168.100.10
Port scanner(s) : nessus_syn_scanner 
Port range : 1-1000
Ping RTT : Unavailable
Thorough tests : no
Experimental tests : no
Scan for Unpatched Vulnerabilities : no
Plugin debugging enabled : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : no
Credentialed checks : no
Patch management checks : None
Display superseded patches : yes (supersedence plugin did not launch)
CGI scanning : disabled
Web application tests : disabled
Max hosts : 5
Max checks : 5
Recv timeout : 5
Backports : None
Allow post-scan editing : Yes
Nessus Plugin Signature Checking : Enabled
Audit File Signature Checking : Disabled
Scan Start Date : 2024/6/6 1:24 Central Standard Time (Mexico)
Scan duration : 1189 sec
Scan for malware : no
","","","","","","None","","","","2005/08/26","2024/06/04","","",""
"10287","","","None","172.16.16.99","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 192.168.100.10 to 172.16.16.99 : 
192.168.100.10

ttl was greater than 50 - Completing Traceroute.

192.168.100.1
10.11.0.1
10.0.11.177
?

Hop Count: 4

An error was detected along the way.

","","","","","","None","","","","1999/11/27","2023/12/04","","",""
